epoch,timestamp,train_loss,grad_norm,batch_time,data_time,model_time,loss_scale,epoch_time,val_acc1,val_acc5,val_loss,lr,weight_decay,val_acc1_ema
0,2026-08-15T17:30:32.983829,0.8593575613839286,"tensor(nan, device='cuda:0')",1.6387155481747218,1.0353682126317705,0.5657518863677978,3511.0401785714284,92.97793173789978,14.074074074074074,100.00000039559824,1.656929976851852,1.668526785714286e-05,0.05,18.518518560904045
1,2026-08-15T17:32:48.057047,0.8098580496651786,"tensor(192007.2188, device='cuda:0')",1.6395768991538457,1.0757004022598267,0.5323605060577392,0.25,93.03996014595032,13.333333333333334,100.00000039559824,1.6345486111111112,3.0747767857142855e-05,0.05,19.25925925925926
2,2026-08-15T17:35:01.881002,0.8026297433035714,"tensor(183137.1562, device='cuda:0')",1.613311550446919,1.0546092135565621,0.5314682006835938,0.25,91.55327224731445,29.6296297426577,100.00000039559824,1.5675419560185184,3.111601603701478e-05,0.05,31.851851908365884
3,2026-08-15T17:37:14.856245,0.7992640904017857,"tensor(217258.2188, device='cuda:0')",1.6300358814852578,1.069190889596939,0.5321590423583984,0.25,92.50391912460327,20.74074074074074,100.00000039559824,1.593381076388889,3.069655845426653e-05,0.05,24.444444444444443
4,2026-08-15T17:39:27.868822,0.7965436662946429,"tensor(321296.4688, device='cuda:0')",1.6237017129148756,1.0730883819716317,0.5303983688354492,0.25,92.13562822341919,26.666666666666668,100.00000039559824,1.5726924189814815,2.9999256895862657e-05,0.05,22.962962962962962
5,2026-08-15T17:41:40.307746,0.7921491350446429,"tensor(279662.4062, device='cuda:0')",1.6185495470251356,1.053633370569774,0.5268980026245117,0.25,91.85865235328674,22.962963005348488,100.00000039559824,1.5618055555555554,2.903710077049102e-05,0.05,24.444444444444443
6,2026-08-15T17:43:54.488795,0.7939714704241071,"tensor(inf, device='cuda:0')",1.6453187891415186,1.0794304651873452,0.5753435611724853,0.1328125,93.35640048980713,33.33333341810438,100.00000039559824,1.53125,2.782801322629797e-05,0.05,22.962963005348488
7,2026-08-15T17:46:08.720233,0.7903616768973214,"tensor(614981.3750, device='cuda:0')",1.6401733117444175,1.08551367691585,0.5654187202453613,0.0625,93.10567831993103,37.03703703703704,100.00000039559824,1.5140697337962963,2.6394517276550358e-05,0.05,29.62962971440068
8,2026-08-15T17:48:22.929802,0.7968052455357143,"tensor(394482.4375, device='cuda:0')",1.6459421685763769,1.0934110624449593,0.5315142154693604,0.0625,93.41211915016174,26.666666666666668,100.00000039559824,1.566898148148148,2.4763316238513474e-05,0.05,30.370370412755896
9,2026-08-15T17:50:36.119462,0.80419921875,"tensor(148750., device='cuda:0')",1.6262869238853455,1.0573989280632563,0.5369740486145019,0.0625,92.29608011245728,13.333333333333334,100.00000039559824,1.629029224537037,2.2964796301175056e-05,0.05,31.111111195882163
10,2026-08-15T17:52:48.718119,0.8097795758928571,"tensor(1419.4144, device='cuda:0')",1.619636914559773,1.0797086358070374,0.5809685707092285,0.0625,91.91244411468506,14.074074074074074,100.00000039559824,1.7292317708333333,2.1032460488037317e-05,0.05,20.00000008477105
11,2026-08-15T17:55:01.369241,0.8160051618303571,"tensor(130.1177, device='cuda:0')",1.6209801392895835,1.0743079611233302,0.5630115509033203,0.0625,91.95664715766907,20.740741136338976,100.00000039559824,1.6518663194444445,1.9002304559179246e-05,0.05,18.518518560904045
12,2026-08-15T17:57:14.226950,0.8090035574776786,"tensor(138.0643, device='cuda:0')",1.6218829452991486,1.0739237879003798,0.5284058094024658,0.0625,92.065016746521,25.925926321524162,100.00000039559824,1.6213686342592593,1.691214647835294e-05,0.05,20.74074074074074
13,2026-08-15T17:59:27.991195,0.8048270089285714,"tensor(69.2488, device='cuda:0')",1.6286571877343314,1.0806090831756592,0.5733422756195068,0.0625,92.46951842308044,12.592592592592593,100.00000039559824,1.6121672453703704,1.4800921935873229e-05,0.05,27.40740740740741
14,2026-08-15T18:01:40.256303,0.8061959402901786,"tensor(68.4651, device='cuda:0')",1.610458412340709,1.0625773966312408,0.5558033466339112,0.0625,91.4428403377533,25.185185185185187,100.00000039559824,1.6084852430555556,1.2707959050376263e-05,0.05,18.51851851851852
