epoch,timestamp,train_loss,grad_norm,batch_time,data_time,model_time,loss_scale,epoch_time,val_acc1,val_acc5,val_loss,lr,weight_decay,val_acc1_ema
0,2026-08-15T14:57:13.838168,0.8044172014508929,"tensor(nan, device='cuda:0')",1.6275553703308105,1.0194300668580192,0.4320187568664551,33353.142857142855,92.95140790939331,31.851851894237377,100.00000039559824,1.5356770833333333,3.419642857142857e-05,0.05,33.333333333333336
1,2026-08-15T15:00:15.156959,0.7809099469866071,"tensor(6.8590, device='cuda:0')",1.3393752191747939,0.9115672324384961,0.41221466064453127,32768.0,76.61925148963928,33.33333336159035,100.00000039559824,1.4634837962962963,5.669642857142857e-05,0.05,40.74074082551179
2,2026-08-15T15:03:16.035961,0.7708565848214286,"tensor(10.0099, device='cuda:0')",1.3321520473275865,0.9104599867548261,0.4130243301391602,32768.0,76.23102498054504,50.37037048339844,100.00000039559824,1.2795500578703705,7.919642857142858e-05,0.05,48.88888897365994
3,2026-08-15T15:06:15.966316,0.7692609514508929,"tensor(inf, device='cuda:0')",1.3331846509660994,0.9123131121907916,0.4093169689178467,32475.428571428572,76.26421236991882,42.962963047734014,100.00000039559824,1.3515407986111112,0.00010169642857142857,0.05,45.185185269956236
4,2026-08-15T15:09:15.764040,0.7530168805803571,"tensor(11.6017, device='cuda:0')",1.329230159521103,0.9104732913630349,0.4111832618713379,16384.0,76.01452660560608,45.18518535472729,100.00000039559824,1.387037037037037,0.00012419642857142856,0.05,40.74074082551179
5,2026-08-15T15:12:15.284905,0.7614397321428571,"tensor(9.9596, device='cuda:0')",1.3251740378992898,0.9065017231873104,0.410844612121582,16384.0,75.81973814964294,47.40740749217846,100.00000039559824,1.3508680555555554,0.0001248585712607131,0.05,42.96296296296296
6,2026-08-15T15:15:15.207659,0.7394321986607143,"tensor(12.0014, device='cuda:0')",1.3353164451462882,0.9142090678215027,0.41164026260375974,16384.0,76.39460349082947,37.03703706529405,100.00000039559824,1.388722511574074,0.000124413836401165,0.05,47.40740749217846
7,2026-08-15T15:18:15.059043,0.7516305106026786,"tensor(10.7095, device='cuda:0')",1.3237083639417375,0.9027421006134578,0.4109340190887451,16384.0,75.71696662902832,49.62962971440068,100.00000039559824,1.2462890625,0.00012366776804794498,0.05,51.85185189423738
8,2026-08-15T15:21:15.031558,0.7318028041294643,"tensor(9.9441, device='cuda:0')",1.32512794647898,0.9041323491505214,0.41083245277404784,16384.0,75.82427620887756,44.444444557472515,100.00000039559824,1.3220052083333333,0.00012262400097107546,0.05,53.33333341810438
9,2026-08-15T15:24:13.910288,0.7311662946428571,"tensor(10.2010, device='cuda:0')",1.3073935423578535,0.8846415792192731,0.412549352645874,16384.0,74.79908180236816,45.18518518518518,100.00000039559824,1.276244212962963,0.00012128762029883582,0.05,51.85185202139395
10,2026-08-15T15:27:15.556116,0.7093331473214286,"tensor(10.6403, device='cuda:0')",1.3506650371210915,0.9194593344415937,0.5458436489105225,16384.0,77.22040438652039,44.444444529215495,100.00000039559824,1.2052372685185184,0.0001196651367435287,0.05,50.370370412755896
11,2026-08-15T15:30:15.726026,0.703125,"tensor(9.5371, device='cuda:0')",1.3469343866620744,0.9254811406135559,0.4105519771575928,16384.0,77.06647276878357,45.185185269956236,100.00000039559824,1.2002387152777778,0.00011776445488194409,0.05,48.148148190533675
12,2026-08-15T15:33:15.631379,0.7120012555803571,"tensor(9.8421, device='cuda:0')",1.3395058725561415,0.9194539274488177,0.4117287158966064,16384.0,76.608957529068,49.6296297426577,100.00000039559824,1.1891493055555555,0.00011559483464505574,0.05,51.11111119588216
