epoch,timestamp,train_loss,grad_norm,batch_time,data_time,model_time,loss_scale,epoch_time,val_acc1,val_acc5,val_loss,lr,weight_decay,val_acc1_ema
10,2026-08-15T19:14:37.839101,0.44188145228794645,"tensor(6.1379, device='cuda:0')",1.4413650035858154,1.2798848067011153,0.16847653388977052,32768.0,81.91992664337158,82.96296307599103,100.00000039559824,0.5070240162037037,2.8663098783729704e-05,0.05,82.962963019477
11,2026-08-15T19:16:40.373468,0.41131591796875,"tensor(5.8991, device='cuda:0')",1.4235673589365823,1.305533494268145,0.10935072898864746,32768.0,80.87654209136963,84.44444455747251,100.00000039559824,0.4945746527777778,2.8075412603656422e-05,0.05,82.2222223352503
12,2026-08-15T19:18:47.223863,0.42219325474330355,"tensor(6.1373, device='cuda:0')",1.6011080869606562,1.4301325934273856,0.15371851921081542,32768.0,90.83326411247253,83.70370381673177,100.00000039559824,0.49853877314814815,2.7435080931880105e-05,0.05,81.48148159450955
13,2026-08-15T19:20:44.178079,0.42071533203125,"tensor(6.1704, device='cuda:0')",1.425246732575553,1.26102791087968,0.12305564880371093,32768.0,80.96960687637329,83.70370381673177,100.00000039559824,0.4809027777777778,2.6744845766924804e-05,0.05,82.96296307599103
14,2026-08-15T19:22:42.815424,0.40578787667410715,"tensor(6.1702, device='cuda:0')",1.4390517728669303,1.2906178448881422,0.18101005554199218,32768.0,81.86747717857361,85.92592603895399,100.00000039559824,0.46285807291666664,2.600766280173368e-05,0.05,85.18518529821326
15,2026-08-15T19:24:39.343722,0.40183803013392855,"tensor(6.0600, device='cuda:0')",1.4135812861578805,1.2683267848832267,0.10896949768066407,32768.0,80.31918716430664,83.7037038732458,100.00000039559824,0.44296513310185187,2.5226688766938085e-05,0.05,83.70370381673177
16,2026-08-15T19:26:37.072799,0.39590018136160715,"tensor(6.0004, device='cuda:0')",1.4310937225818634,1.2756596505641937,0.2028172492980957,32768.0,81.37038540840149,87.40740746392144,100.00000039559824,0.43627025462962965,2.440526791325232e-05,0.05,84.44444461398655
17,2026-08-15T19:28:35.021617,0.39152308872767855,"tensor(6.1011, device='cuda:0')",1.4317177193505424,1.2912631120000566,0.19248547554016113,32768.0,81.34704303741455,85.18518529821326,100.00000039559824,0.4289677372685185,2.354691769087869e-05,0.05,85.18518535472728
18,2026-08-15T19:30:32.318929,0.38951328822544645,"tensor(6.1450, device='cuda:0')",1.4191342209066664,1.2770213442189353,0.1666947364807129,32768.0,80.6685004234314,85.92592603895399,100.00000039559824,0.4289677372685185,2.2655313687245723e-05,0.05,85.92592609546803
19,2026-08-15T19:32:28.946452,0.37620762416294645,"tensor(5.7936, device='cuda:0')",1.4198136840547835,1.271805805819375,0.1299208164215088,32768.0,80.67907333374023,85.92592609546803,100.00000039559824,0.4299262152777778,2.173427388757852e-05,0.05,85.92592609546803
20,2026-08-15T19:34:35.519494,0.3931971958705357,"tensor(6.0634, device='cuda:0')",1.4313754907676153,1.297113903931209,0.16726670265197754,32768.0,81.34326982498169,88.14814831769024,100.00000039559824,0.4158203125,2.0787742325699844e-05,0.05,86.66666677969474
21,2026-08-15T19:36:53.516939,0.38419886997767855,"tensor(6.1384, device='cuda:0')",1.6105836416993822,1.429288536310196,0.166054630279541,32768.0,91.39300847053528,88.14814826117622,100.00000039559824,0.4169162326388889,1.981977219507184e-05,0.05,86.66666677969474
22,2026-08-15T19:39:43.417947,0.3841334751674107,"tensor(6.0908, device='cuda:0')",2.118455763374056,1.9160440266132355,0.20149307250976561,32768.0,120.36097764968872,86.6666667231807,100.00000039559824,0.439087818287037,1.883450849239933e-05,0.05,86.6666667231807
23,2026-08-15T19:42:16.778016,0.37084524972098215,"tensor(5.9429, device='cuda:0')",1.91176615016801,1.7141596334321159,0.16584043502807616,32768.0,108.56070399284363,87.40740746392144,100.00000039559824,0.421509693287037,1.78361702681176e-05,0.05,87.40740746392144
24,2026-08-15T19:45:06.273701,0.3814304896763393,"tensor(6.0704, device='cuda:0')",2.150386997631618,1.941350838967732,0.17468252182006835,32768.0,121.9864113330841,87.40740746392144,100.00000039559824,0.44213505497685185,1.6829032559770683e-05,0.05,86.6666667231807
25,2026-08-15T19:47:55.511548,0.3727634974888393,"tensor(5.7815, device='cuda:0')",2.0330936866147176,1.8329580596515112,0.17915959358215333,32768.0,115.66454768180847,87.40740746392144,100.00000039559824,0.4198061342592593,1.581740808564433e-05,0.05,88.88888894540293
26,2026-08-15T19:50:43.718875,0.3777683803013393,"tensor(5.9909, device='cuda:0')",2.1152759322098325,1.9232747980526514,0.19413623809814454,32768.0,119.95317935943604,87.40740746392144,100.00000039559824,0.40794994212962965,1.4805628777044152e-05,0.05,85.92592598243996
27,2026-08-15T19:53:21.254946,0.36877005440848215,"tensor(5.8871, device='cuda:0')",1.94575491973332,1.7542437144688197,0.1751948833465576,32768.0,110.62233471870422,89.62962968614366,100.00000039559824,0.40046296296296297,1.3798027228300764e-05,0.05,88.14814820466218
28,2026-08-15T19:55:48.422375,0.37205287388392855,"tensor(6.0719, device='cuda:0')",1.8225610554218292,1.6414959302970342,0.3803811550140381,32768.0,103.50933909416199,89.62962968614366,100.00000039559824,0.3997829861111111,1.2798918143935702e-05,0.05,86.6666667231807
29,2026-08-15T19:58:16.014219,0.3681117466517857,"tensor(5.9060, device='cuda:0')",1.7304837490831102,1.5750025723661696,0.1761247158050537,32768.0,98.07626175880432,89.62963002522787,100.00000039559824,0.39486942997685187,1.1812579862434214e-05,0.05,86.6666667231807
