epoch,timestamp,train_loss,grad_norm,batch_time,data_time,model_time,loss_scale,epoch_time,val_acc1,val_acc5,val_loss,lr,weight_decay,val_acc1_ema
0,2026-08-15T21:20:25.910968,0.8041033063616071,"tensor(nan, device='cuda:0')",1.6166984055723463,1.370953461953572,0.16202611923217775,33353.142857142855,91.74238133430481,29.62962971440068,100.00000039559824,1.580027488425926,1.668526785714286e-05,0.05,25.925926010696976
1,2026-08-15T21:22:33.161844,0.7867170061383929,"tensor(inf, device='cuda:0')",1.5669626338141305,1.4209677960191454,0.11571884155273438,24868.571428571428,88.94783759117126,47.40740749217846,100.00000039559824,1.5338324652777777,3.0747767857142855e-05,0.05,43.703703788474755
2,2026-08-15T21:24:40.332572,0.7524850027901786,"tensor(nan, device='cuda:0')",1.5578615324837821,1.3891680155481612,0.19007935523986816,10678.857142857143,88.41620302200317,54.07407410233109,100.00000039559824,1.4234375,3.121920290159346e-05,0.05,50.37037045514142
3,2026-08-15T21:26:48.501665,0.7142072405133929,"tensor(nan, device='cuda:0')",1.5748154350689478,1.4045414456299372,0.1898585319519043,7094.857142857143,89.36716604232788,57.03703706529405,100.00000039559824,1.327640335648148,3.112234037846768e-05,0.05,51.85185188010887
4,2026-08-15T21:28:55.612254,0.6622227260044643,"tensor(1.7186, device='cuda:0')",1.5520585009029932,1.393702289887837,0.15182757377624512,4096.0,88.10718607902527,65.18518524169922,100.00000039559824,1.1586009837962963,3.0959784951134256e-05,0.05,61.481481594509546
5,2026-08-15T21:31:04.623610,0.6104910714285714,"tensor(1.5324, device='cuda:0')",1.5802512764930725,1.411799545798983,0.20882420539855956,4096.0,89.66993498802185,71.11111116762514,100.00000039559824,1.0496021412037038,3.0732232706888986e-05,0.05,65.18518529821326
6,2026-08-15T21:33:11.163556,0.5711669921875,"tensor(1.6282, device='cuda:0')",1.5517577273505074,1.381751469203404,0.1780217170715332,4096.0,88.07588195800781,71.11111122413918,100.00000039559824,0.9316912615740741,3.0440658059376203e-05,0.05,71.11111122413918
7,2026-08-15T21:35:18.401871,0.5321698869977679,"tensor(1.3585, device='cuda:0')",1.5628328323364258,1.4099283048084803,0.12337284088134766,4096.0,88.65596961975098,74.07407446967231,100.00000039559824,0.8475405092592593,3.00863095759999e-05,0.05,72.59259298819083
8,2026-08-15T21:37:24.547835,0.5035182407924107,"tensor(1.4178, device='cuda:0')",1.5411199714456285,1.3721922380583627,0.1630466938018799,4096.0,87.48452615737915,77.03703709355106,100.00000039559824,0.7435691550925926,2.9670704631366464e-05,0.05,76.29629669189453
9,2026-08-15T21:39:30.908386,0.4878452845982143,"tensor(1.4272, device='cuda:0')",1.5444793105125427,1.3769234078271049,0.1795124053955078,4096.0,87.66645002365112,79.25925931577329,100.00000039559824,0.7061125578703704,2.919562290965365e-05,0.05,76.29629635281033
